PHYSICAL LEVEL PARAMETERS (BOUNDARY CONDITION SET TO SHIFT AT E_LEVEL)

J = 0.0+  E_level =  14.2350 MeV  ITERATIONS =     0
  R =  3  l =   3  s =  1.0  G  = 7.260000e+01 eV         g_int = -1.555774e-01 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 
  R =  4  l =   3  s =  1.0  G  = 2.046000e+02 eV         g_int = 3.350207e-01 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 
  R =  4  l =   1  s =  2.0  G  = 0.000000e+00 meV        g_int = 0.000000e+00 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 
  R =  4  l =   3  s =  2.0  G  = 0.000000e+00 meV        g_int = 0.000000e+00 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 
  R =  5  l =   1  s =  2.0  G  = 9.603000e+02 eV         g_int = -2.239249e-01 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 
  R =  5  l =   3  s =  2.0  G  = 0.000000e+00 meV        g_int = 0.000000e+00 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 

J = 3.0+  E_level =  14.2230 MeV  ITERATIONS =     0
  R =  1  l =   2  s =  2.0  G  = 2.909000e+02 eV         g_int = 4.884116e-02 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 
  R =  1  l =   4  s =  2.0  G  = 0.000000e+00 meV        g_int = 0.000000e+00 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 
  R =  1  l =   0  s =  3.0  G  = 5.679000e+02 eV         g_int = -2.397141e-02 MeV^(1/2)   g_ext = (0.000000e+00,0.000000e+00) MeV^(1/2) 
